biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
-1690578500603651692,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCN(C)C(=O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.6918626213619605,1,binding,0
-4444534303897769573,CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC3)CC(N)C4)c(F)c2)c1C#Cc1ccc(N)nc1,5.8855591644441105,0,binding,0
5292219304475712855,Cc1ncnc(-c2cccc(C(=O)N3CCOCC3)c2)c1C#Cc1ccc(N)nc1,6.64975198166584,0,binding,1
5651963483188491267,CCc1ncnc(N2CCC3(CC2)CC(=O)NC(=O)C3)c1C#Cc1ccc(N)nc1,7.420216403383191,1,binding,1
3871717887219873313,CCOC1CCN(c2ncnc(CC)c2C#Cc2ccc(C)nc2)CC1,7.00436480540245,1,binding,1
-1045907519512014451,CCc1ncnc(-c2ccc(C(=O)NCCOC)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.74232142513082,0,binding,1
4843097674870506970,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCOCCO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.065249125336419,1,binding,1
-1272254151327874921,CCc1ncnc(-c2ccc(C(=O)N3CCNCC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.244125144327509,1,binding,1
-6570001664161208467,CCc1ncnc(-c2cc(F)c(C(=O)N(C)C3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.471854921746889,0,binding,1
4782559986219921750,CCc1ncnc(-c2ccc(C(=O)N3CCCO3)cc2)c1C#Cc1ccc(N)nc1,7.376750709602099,1,binding,1
3414604376137141741,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCS(=O)(=O)C4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.917214629683549,0,binding,1
-5449915434529633366,CCc1ncnc(-c2ccc(C(=O)N(C)C3CCS(=O)(=O)C3)c(C)c2)c1C#Cc1ccc(N)nc1,7.433916215831999,1,binding,1
-5977010856677691304,CCc1ncnc(-c2ccc(C(=O)N3CCn4cnnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,7.2942217871714,1,binding,1
-6006253548943489082,Cc1ncnc(N2CCC3(CC2)OCCO3)c1C#Cc1ccc(N)nc1,7.221848749616361,1,binding,1
4346077093561158870,Cc1ncnc(N2C[C@H](C)O[C@H](C)C2)c1C#Cc1ccc(N)nc1,7.46852108295774,1,binding,1
64108820988850081,CCNc1ccc(C#Cc2c(CC)ncnc2-c2ccc(C(=O)N3CCC4(CC3)CN(C(=O)OC(C)(C)C)C4)c(F)c2)cn1,6.25165689551245,0,binding,1
7265262487195035724,CCOC1CCN(c2ncnc(CC)c2C#Cc2ccc(N)nc2)CC1,7.1135092748275195,1,binding,1
-1492425440818947325,CCc1ncnc(N2CCCC(CO)C2)c1C#Cc1ccc(N)nc1,7.1366771398795406,1,binding,1
5164222817878280978,CCc1ncnc(-c2ccc(C(=O)N3CC(O)CO3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.05408848318073,1,binding,1
-4626455123176631659,CCc1ncnc(-c2ccnc(OC)c2)c1C#Cc1ccc(N)nc1,7.21467016498923,1,binding,1
-3882279374287493711,CCc1ncnc(-c2ccc(C(=O)N(C)O)c(C)c2)c1C#Cc1ccc(N)nc1,6.625068446021809,0,binding,1
6302904994280926673,CCc1ncnc(-c2ccc(C(=O)NC)c(Cl)c2)c1C#Cc1ccc(C)nc1,6.62708799702989,0,binding,1
2152187801100916562,CCc1ncnc(-c2ccc(C(=O)N3CCC4(CCN(C)C4)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.17940450345551,0,binding,1
4837170672282775206,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.701146923590291,0,binding,1
-5431451783285856110,Cc1ncnc(-c2ccc(C(=O)N3CC(O)CO3)c(F)c2)c1C#Cc1ccc(N)nc1,7.2839966563652006,1,binding,1
-5582641003656973232,CCc1ncnc(-c2ccc(C(=O)N3CCN(S(=O)(=O)CC)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.40373287360448,1,binding,1
